zipcode,number_of_customers,Percentage
90007,5389,0.92
07310,5274,0.90
10025,4854,0.83
92122,4697,0.80
98105,4351,0.74
95616,4151,0.71
90024,3826,0.65
47906,3591,0.61
19104,3490,0.60
61820,3478,0.59
11355,3353,0.57
92612,3343,0.57
85281,3214,0.55
93117,3172,0.54
48823,3144,0.54
11220,2998,0.51
15213,2981,0.51
22202,2897,0.50
16803,2881,0.49
02215,2854,0.49
02148,2816,0.48
14850,2716,0.46
61801,2694,0.46
92617,2661,0.45
55414,2620,0.45
45056,2618,0.45
11101,2526,0.43
10044,2298,0.39
97401,2298,0.39
10019,2234,0.38
07302,2232,0.38
02134,2140,0.37
95618,2091,0.36
02115,2073,0.35
20740,2065,0.35
10027,2045,0.35
11354,1951,0.33
91748,1946,0.33
91801,1924,0.33
92092,1924,0.33
13210,1921,0.33
10036,1919,0.33
48105,1915,0.33
94112,1889,0.32
91776,1869,0.32
11201,1836,0.31
10001,1833,0.31
94704,1831,0.31
11373,1823,0.31
92620,1728,0.30
11790,1715,0.29
43210,1705,0.29
08854,1687,0.29
60201,1673,0.29
19711,1642,0.28
47401,1635,0.28
24060,1631,0.28
85719,1615,0.28
92507,1612,0.28
60616,1612,0.28
90025,1603,0.27
02453,1538,0.26
10003,1512,0.26
48825,1504,0.26
92618,1461,0.25
22903,1424,0.24
77840,1422,0.24
44106,1417,0.24
02135,1417,0.24
99163,1414,0.24
02446,1378,0.24
48104,1370,0.23
98109,1367,0.23
91754,1365,0.23
95134,1348,0.23
53715,1344,0.23
12180,1328,0.23
91770,1311,0.22
91789,1310,0.22
91765,1305,0.22
92614,1297,0.22
65201,1293,0.22
91709,1284,0.22
36832,1282,0.22
94043,1275,0.22
95051,1243,0.21
43202,1235,0.21
97333,1233,0.21
95131,1224,0.21
27705,1214,0.21
91755,1212,0.21
01002,1211,0.21
94086,1202,0.21
47408,1192,0.20
91745,1177,0.20
32608,1165,0.20
14228,1159,0.20
50010,1155,0.20
91007,1141,0.20
94085,1139,0.19
08901,1135,0.19
15217,1135,0.19
53703,1114,0.19
94107,1109,0.19
90034,1108,0.19
06269,1107,0.19
98004,1103,0.19
11219,1098,0.19
92037,1092,0.19
94015,1087,0.19
95035,1071,0.18
10016,1069,0.18
95060,1068,0.18
94538,1051,0.18
97330,1049,0.18
02138,1049,0.18
94132,1042,0.18
60615,1041,0.18
13850,1038,0.18
10023,1030,0.18
94134,1021,0.17
14623,1019,0.17
52246,1015,0.17
95014,1006,0.17
92606,1002,0.17
10009,994,0.17
02125,967,0.17
11204,966,0.17
02903,965,0.16
