order_date,total_purchases
2017-11-11,17987
2018-11-11,17822
2018-11-10,12706
2017-11-06,12557
2018-11-06,11150
2017-11-10,11016
2018-04-01,10658
2016-11-11,10622
2018-03-27,10475
2017-11-07,10432
2018-11-08,10414
2016-11-07,10061
2017-11-08,10016
2018-03-28,8803
2018-03-29,8762
2017-11-09,8275
2017-01-30,7997
2017-10-02,7887
2017-03-31,7564
2018-11-09,7477
2017-10-04,7374
2018-03-30,7344
2017-03-05,7157
2016-11-10,7152
2018-02-19,7152
2017-01-29,6954
2017-10-03,6921
2018-03-31,6891
2017-11-24,6790
2017-03-27,6692
2016-10-05,6622
2017-03-28,6331
2017-10-15,6115
2017-01-28,6106
2017-03-30,6091
2017-03-29,6033
2017-11-27,6009
2016-10-26,6005
2017-03-22,5988
2016-11-08,5852
2017-11-05,5748
2018-02-18,5671
2018-11-04,5633
2017-11-28,5479
2017-01-27,5460
2017-10-14,5374
2017-01-26,5350
2018-02-04,5341
2016-11-09,5313
2016-09-15,5305
2017-11-23,5291
2018-03-22,5276
2017-09-05,5219
2017-09-25,5197
2018-01-15,5193
2018-08-26,5168
2017-01-16,5143
2016-12-09,5073
2017-09-19,5065
2017-11-01,5056
2018-03-26,5056
2018-01-17,5048
2018-11-23,5045
2016-11-04,5008
2018-01-20,4992
2017-09-26,4974
2018-03-18,4949
2018-01-14,4937
2018-02-17,4924
2017-09-18,4907
2016-11-22,4901
2018-03-25,4885
2018-01-16,4855
2017-03-18,4793
2017-11-12,4779
2018-09-24,4754
2016-11-28,4728
2018-10-18,4711
2018-02-03,4710
2017-09-04,4683
2017-11-21,4677
2017-11-26,4677
2016-10-31,4668
2017-11-04,4659
2018-03-21,4649
2017-09-21,4641
2017-11-03,4636
2018-11-26,4634
2017-09-10,4627
2018-01-18,4622
2018-11-07,4600
2018-02-05,4598
2017-10-29,4582
2018-02-02,4578
2017-11-02,4531
2018-02-25,4505
2018-01-07,4493
2016-09-18,4491
2018-02-07,4486
2018-03-20,4485
2017-03-06,4483
2017-09-28,4482
2018-03-11,4477
2018-03-19,4474
2018-03-13,4467
2017-10-22,4466
2018-11-27,4434
2018-02-06,4430
2017-09-20,4415
2017-09-27,4389
2018-02-11,4387
2016-11-27,4380
2017-10-23,4372
2016-03-27,4359
2018-10-19,4347
2017-03-01,4344
2018-02-16,4330
2018-09-23,4324
2018-03-23,4322
2017-01-11,4314
2016-02-08,4281
2017-10-01,4275
2018-02-26,4270
2017-03-17,4263
2017-11-14,4248
2018-09-20,4246
2018-02-15,4238
2017-10-11,4234
2017-09-30,4232
2017-10-17,4228
2018-03-24,4227
2017-09-17,4211
2017-03-16,4204
2017-01-22,4197
2017-09-06,4197
2016-11-25,4194
2017-10-24,4194
2018-09-21,4191
2017-03-19,4159
2018-03-04,4156
2018-04-16,4156
2018-11-25,4149
2017-10-10,4147
2018-11-24,4147
2018-02-24,4140
2018-03-12,4134
2017-01-23,4132
2017-10-30,4121
2017-01-04,4115
2017-02-14,4102
2018-03-10,4094
2017-11-25,4078
2018-10-14,4064
2018-10-24,4063
2018-10-23,4057
2017-10-16,4049
2018-03-15,4042
2018-01-08,4039
2018-09-22,4036
2017-01-19,4027
2017-03-08,4016
2017-09-24,4015
2017-09-08,4009
2018-01-23,4007
2018-02-01,4006
2018-10-28,4002
2017-10-18,4000
2017-11-13,3989
2018-11-03,3984
2017-09-03,3956
2018-02-27,3951
2017-03-20,3945
2017-10-13,3936
2018-10-21,3926
2018-09-25,3920
2018-10-15,3918
2018-10-22,3910
2018-10-16,3891
2017-08-27,3878
2017-10-08,3876
2017-01-20,3870
2018-10-01,3867
2018-03-09,3863
2018-08-21,3859
2017-10-09,3855
2018-10-25,3851
2018-11-02,3844
2017-05-17,3840
2018-03-14,3838
2018-02-28,3833
2018-08-22,3831
2017-05-02,3830
2017-09-09,3827
2018-10-02,3827
2017-01-17,3824
2018-01-19,3820
2018-03-07,3814
2017-11-22,3813
2018-09-30,3810
2018-01-28,3808
2017-10-25,3804
2018-02-12,3804
2018-08-23,3800
2017-08-30,3796
2018-11-01,3792
2017-09-02,3791
2018-02-10,3790
2018-02-20,3781
2018-03-17,3774
2018-03-08,3772
2017-01-21,3771
2018-01-06,3769
2018-03-03,3760
2018-10-13,3754
2017-09-07,3750
2018-03-01,3749
2018-03-06,3743
2016-11-06,3741
2018-01-11,3740
2018-10-20,3738
2018-01-10,3732
2018-08-25,3732
2017-09-11,3730
2018-10-17,3729
2017-09-14,3726
2017-05-15,3720
2018-02-22,3720
2018-10-29,3720
2017-10-19,3716
2018-01-09,3715
2018-11-12,3713
2018-09-03,3703
2018-03-05,3702
2018-01-13,3700
2017-10-05,3699
2017-02-22,3693
2017-10-12,3692
2018-11-22,3691
2018-08-20,3684
2018-02-08,3681
2017-05-24,3680
2018-03-02,3675
2018-05-01,3675
2017-10-21,3663
2018-10-09,3659
2017-09-16,3642
